"","game","round","date","home_team","score","away_team","arena","X"
"52","52","6","10/06/2017 - 19:00","267","2 x 1","292","São Januário - Rio de Janeiro - RJ",""
"53","53","6","10/06/2017 - 16:00","275","3 x 1","266","Allianz Parque - Sao Paulo - SP",""
"54","54","6","11/06/2017 - 16:00","264","3 x 2","276","Arena Corinthians - Sao Paulo - SP",""
"55","55","6","11/06/2017 - 18:30","283","2 x 0","373","Mineirão - Belo Horizonte - MG",""
"56","56","6","11/06/2017 - 19:00","293","0 x 2","277","Arena da Baixada - Curitiba - PR",""
"57","57","6","12/06/2017 - 20:00","284","1 x 0","265","Arena do Grêmio - Porto Alegre - RS",""
"58","58","6","11/06/2017 - 16:00","287","2 x 0","282","Manoel Barradas - Salvador - BA",""
"59","59","6","11/06/2017 - 16:00","303","3 x 2","315","Moisés Lucarelli - Campinas - SP",""
"60","60","6","11/06/2017 - 16:00","314","1 x 1","262","Ressacada - Florianopolis - SC",""
"61","61","7","15/06/2017 - 21:00","266","0 x 2","284","Maracanã - Rio de Janeiro - RJ",""
"62","62","7","14/06/2017 - 21:00","262","2 x 0","303","Luso Brasileiro - Rio de Janeiro - RJ",""
"63","63","7","14/06/2017 - 21:45","277","1 x 0","275","Vila Belmiro - 277",""
"64","64","7","14/06/2017 - 21:45","264","1 x 0","283","Arena Corinthians - Sao Paulo - SP",""
"65","65","7","14/06/2017 - 19:30","282","0 x 1","293","Independência - Belo Horizonte - MG",""
"66","66","7","15/06/2017 - 16:00","294","0 x 0","265","Couto Pereira - Curitiba - PR",""
"67","67","7","14/06/2017 - 19:30","292","0 x 0","276","Ilha do Retiro - Recife - PE",""
"68","68","7","14/06/2017 - 19:30","287","2 x 2","263","Manoel Barradas - Salvador - BA",""
"69","69","7","14/06/2017 - 19:30","373","3 x 1","314","Olímpico Pedro Ludovico - Goiania - GO",""
"70","70","7","14/06/2017 - 21:45","315","2 x 1","267","Arena Condá - Chapeco - SC",""
"71","71","8","18/06/2017 - 16:00","266","2 x 2","262","Maracanã - Rio de Janeiro - RJ",""
"72","72","8","17/06/2017 - 19:00","267","1 x 0","314","São Januário - Rio de Janeiro - RJ",""
"73","73","8","17/06/2017 - 21:00","277","0 x 0","303","Pacaembu - Sao Paulo - SP",""
"74","74","8","18/06/2017 - 16:00","276","1 x 2","282","Morumbi - Sao Paulo - SP",""
"75","75","8","19/06/2017 - 20:00","283","3 x 3","284","Mineirão - Belo Horizonte - MG",""
"76","76","8","18/06/2017 - 11:00","294","0 x 0","264","Couto Pereira - Curitiba - PR",""
"77","77","8","18/06/2017 - 19:00","292","1 x 3","287","Ilha do Retiro - Recife - PE",""
"78","78","8","18/06/2017 - 16:00","265","2 x 4","275","Arena Fonte Nova - Salvador - BA",""
"79","79","8","17/06/2017 - 16:00","373","0 x 1","293","Olímpico Pedro Ludovico - Goiania - GO",""
"80","80","8","18/06/2017 - 16:00","315","0 x 2","263","Arena Condá - Chapeco - SC",""
"81","81","9","21/06/2017 - 21:00","263","3 x 1","267","Nilton Santos - Rio de Janeiro - RJ",""
"82","82","9","22/06/2017 - 21:00","262","5 x 1","315","Luso Brasileiro - Rio de Janeiro - RJ",""
"83","83","9","21/06/2017 - 21:00","275","1 x 0","373","Allianz Parque - Sao Paulo - SP",""
"84","84","9","22/06/2017 - 19:30","264","3 x 0","265","Arena Corinthians - Sao Paulo - SP",""
"85","85","9","21/06/2017 - 21:45","282","2 x 2","292","Independência - Belo Horizonte - MG",""
"86","86","9","21/06/2017 - 21:45","293","1 x 0","276","Arena da Baixada - Curitiba - PR",""
"87","87","9","22/06/2017 - 21:00","284","2 x 0","294","Arena do Grêmio - Porto Alegre - RS",""
"88","88","9","21/06/2017 - 19:30","287","0 x 2","277","Manoel Barradas - Salvador - BA",""
"89","89","9","22/06/2017 - 19:30","303","1 x 0","283","Moisés Lucarelli - Campinas - SP",""
"90","90","9","21/06/2017 - 21:45","314","0 x 3","266","Ressacada - Florianopolis - SC",""
"91","91","10","26/06/2017 - 20:00","263","0 x 2","314","Nilton Santos - Rio de Janeiro - RJ",""
"92","92","10","25/06/2017 - 11:00","267","1 x 0","373","São Januário - Rio de Janeiro - RJ",""
"93","93","10","24/06/2017 - 19:00","277","0 x 1","292","Vila Belmiro - 277",""
"94","94","10","25/06/2017 - 16:00","276","1 x 1","266","Morumbi - Sao Paulo - SP",""
"95","95","10","25/06/2017 - 16:00","283","2 x 0","294","Mineirão - Belo Horizonte - MG",""
"96","96","10","25/06/2017 - 16:00","293","4 x 1","287","Arena da Baixada - Curitiba - PR",""
"97","97","10","25/06/2017 - 16:00","284","0 x 1","264","Arena do Grêmio - Porto Alegre - RS",""
"98","98","10","25/06/2017 - 18:30","265","0 x 1","262","Arena Fonte Nova - Salvador - BA",""
"99","99","10","25/06/2017 - 16:00","303","1 x 2","275","Moisés Lucarelli - Campinas - SP",""
"100","100","10","25/06/2017 - 19:00","315","0 x 1","282","Arena Condá - Chapeco - SC",""
"101","101","11","03/07/2017 - 20:00","266","3 x 3","315","Giulite Coutinho - Mesquita - RJ",""
"102","102","11","02/07/2017 - 16:00","262","2 x 0","276","Luso Brasileiro - Rio de Janeiro - RJ",""
"103","103","11","01/07/2017 - 16:00","275","1 x 0","284","Pacaembu - Sao Paulo - SP",""
"104","104","11","02/07/2017 - 16:00","264","1 x 0","263","Arena Corinthians - Sao Paulo - SP",""
"105","105","11","02/07/2017 - 16:00","282","3 x 1","283","Independência - Belo Horizonte - MG",""
"106","106","11","02/07/2017 - 19:00","294","2 x 2","267","Durival Britto - Curitiba - PR",""
"107","107","11","02/07/2017 - 16:00","292","1 x 0","293","Ilha do Retiro - Recife - PE",""
"108","108","11","02/07/2017 - 16:00","287","0 x 0","265","Manoel Barradas - Salvador - BA",""
"109","109","11","01/07/2017 - 19:00","373","1 x 1","277","Olímpico Pedro Ludovico - Goiania - GO",""
"110","110","11","02/07/2017 - 19:00","314","0 x 0","303","Ressacada - Florianopolis - SC",""
"111","111","12","09/07/2017 - 19:00","263","1 x 1","282","Nilton Santos - Rio de Janeiro - RJ",""
"112","112","12","08/07/2017 - 18:00","267","0 x 1","262","São Januário - Rio de Janeiro - RJ",""
"113","113","12","09/07/2017 - 19:00","277","3 x 2","276","Vila Belmiro - 277",""
"114","114","12","08/07/2017 - 19:00","264","2 x 0","303","Arena Corinthians - Sao Paulo - SP",""
"115","115","12","09/07/2017 - 16:00","283","3 x 1","275","Mineirão - Belo Horizonte - MG",""
"116","116","12","10/07/2017 - 20:00","294","0 x 3","292","Couto Pereira - Curitiba - PR",""
"117","117","12","09/07/2017 - 16:00","284","0 x 2","314","Arena do Grêmio - Porto Alegre - RS",""
"118","118","12","09/07/2017 - 16:00","265","1 x 1","266","Arena Fonte Nova - Salvador - BA",""
"119","119","12","08/07/2017 - 16:00","373","1 x 2","287","Olímpico Pedro Ludovico - Goiania - GO",""
"120","120","12","09/07/2017 - 11:00","315","1 x 1","293","Arena Condá - Chapeco - SC",""
"121","121","13","12/07/2017 - 21:00","266","0 x 1","263","Maracanã - Rio de Janeiro - RJ",""
"122","122","13","13/07/2017 - 19:30","262","0 x 1","284","Luso Brasileiro - Rio de Janeiro - RJ",""
"123","123","13","12/07/2017 - 21:45","275","0 x 2","264","Allianz Parque - Sao Paulo - SP",""
"124","124","13","13/07/2017 - 19:30","276","2 x 2","373","Morumbi - Sao Paulo - SP",""
"125","125","13","12/07/2017 - 19:30","282","0 x 1","277","Independência - Belo Horizonte - MG",""
"126","126","13","12/07/2017 - 21:45","293","0 x 2","283","Arena da Baixada - Curitiba - PR",""
"127","127","13","13/07/2017 - 19:30","292","3 x 0","315","Arena Pernambuco - São Lourenço da Mata - PE",""
"128","128","13","12/07/2017 - 21:45","287","1 x 4","267","Manoel Barradas - Salvador - BA",""
"129","129","13","12/07/2017 - 19:30","303","0 x 3","265","Moisés Lucarelli - Campinas - SP",""
"130","130","13","13/07/2017 - 21:00","314","1 x 4","294","Ressacada - Florianopolis - SC",""
"131","131","14","17/07/2017 - 20:00","263","2 x 1","292","Nilton Santos - Rio de Janeiro - RJ",""
"132","132","14","16/07/2017 - 16:00","267","0 x 0","277","Nilton Santos - Rio de Janeiro - RJ",""
"133","133","14","16/07/2017 - 11:00","275","4 x 2","287","Allianz Parque - Sao Paulo - SP",""
"134","134","14","15/07/2017 - 19:00","264","2 x 2","293","Arena Corinthians - Sao Paulo - SP",""
"135","135","14","16/07/2017 - 16:00","283","1 x 1","262","Mineirão - Belo Horizonte - MG",""
"136","136","14","16/07/2017 - 19:00","294","1 x 2","266","Couto Pereira - Curitiba - PR",""
"137","137","14","16/07/2017 - 16:00","284","3 x 1","303","Arena do Grêmio - Porto Alegre - RS",""
"138","138","14","16/07/2017 - 19:00","265","1 x 1","314","Pituaçu - Salvador - BA",""
"139","139","14","16/07/2017 - 16:00","373","1 x 2","282","Olímpico Pedro Ludovico - Goiania - GO",""
"140","140","14","16/07/2017 - 16:00","315","2 x 0","276","Arena Condá - Chapeco - SC",""
"141","141","15","20/07/2017 - 19:30","266","1 x 1","283","Giulite Coutinho - Mesquita - RJ",""
"142","142","15","19/07/2017 - 21:45","262","2 x 2","275","Luso Brasileiro - Rio de Janeiro - RJ",""
"143","143","15","19/07/2017 - 19:30","277","1 x 0","315","Vila Belmiro - 277",""
"144","144","15","19/07/2017 - 21:45","276","1 x 0","267","Morumbi - Sao Paulo - SP",""
"145","145","15","19/07/2017 - 21:45","282","0 x 2","265","Independência - Belo Horizonte - MG",""
"146","146","15","20/07/2017 - 21:00","293","0 x 0","263","Arena da Baixada - Curitiba - PR",""
"147","147","15","20/07/2017 - 20:00","292","4 x 0","373","Ilha do Retiro - Recife - PE",""
"148","148","15","19/07/2017 - 19:30","287","1 x 3","284","Manoel Barradas - Salvador - BA",""
"149","149","15","19/07/2017 - 21:00","303","4 x 0","294","Moisés Lucarelli - Campinas - SP",""
"150","150","15","19/07/2017 - 21:00","314","0 x 0","264","Ressacada - Florianopolis - SC",""
"151","151","16","22/07/2017 - 16:00","287","1 x 2","315","Manoel Barradas - Salvador - BA",""
"152","152","16","23/07/2017 - 11:00","277","3 x 0","265","Pacaembu - Sao Paulo - SP",""
"153","153","16","22/07/2017 - 19:00","262","2 x 1","294","Luso Brasileiro - Rio de Janeiro - RJ",""
"154","154","16","23/07/2017 - 19:00","293","0 x 2","303","Arena da Baixada - Curitiba - PR",""
"155","155","16","23/07/2017 - 16:00","266","0 x 1","264","Maracanã - Rio de Janeiro - RJ",""
"156","156","16","23/07/2017 - 16:00","292","0 x 2","275","Arena Pernambuco - São Lourenço da Mata - PE",""
"157","157","16","23/07/2017 - 19:00","373","1 x 1","263","Olímpico Pedro Ludovico - Goiania - GO",""
"158","158","16","23/07/2017 - 16:00","314","1 x 0","283","Ressacada - Florianopolis - SC",""
"159","159","16","23/07/2017 - 19:00","282","1 x 2","267","Independência - Belo Horizonte - MG",""
"160","160","16","24/07/2017 - 20:00","276","1 x 1","284","Morumbi - Sao Paulo - SP",""
"161","161","17","29/07/2017 - 16:00","263","3 x 4","276","Nilton Santos - Rio de Janeiro - RJ",""
